ASN00001020 -14.0900 126.3867 MDTX 2004 2005
ASN00001021 -14.2961 126.6431 TMAX 1941 2005
ASN00001021 -14.2961 126.6431 TMIN 1941 2005
ASN00001021 -14.2961 126.6431 PRCP 1941 2005
ASN00001021 -14.2961 126.6431 DAPR 1996 1999
ASN00001021 -14.2961 126.6431 DATN 1994 2004
ASN00001021 -14.2961 126.6431 DATX 1994 2004
ASN00001021 -14.2961 126.6431 DWPR 1996 1999
ASN00001021 -14.2961 126.6431 MDPR 1996 1999
ASN00001021 -14.2961 126.6431 MDTN 1994 2004
ASN00001021 -14.2961 126.6431 MDTX 1994 2004
ASN00001022 -15.4997 128.1997 PRCP 1900 1917
ASN00001023 -16.0086 127.9806 PRCP 1967 2022
ASN00001023 -16.0086 127.9806 DAPR 1974 2015
ASN00001023 -16.0086 127.9806 DWPR 1974 2015
ASN00001023 -16.0086 127.9806 MDPR 1974 2015
ASN00001024 -15.9572 127.0628 PRCP 1987 2022
ASN00001024 -15.9572 127.0628 DAPR 1987 2022
ASN00001024 -15.9572 127.0628 DWPR 1987 2022
ASN00001024 -15.9572 127.0628 MDPR 1987 2022
ASN00001025 -15.3797 126.3114 TMAX 1988 2022
ASN00001025 -15.3797 126.3114 TMIN 1988 2022
ASN00001025 -15.3797 126.3114 PRCP 1988 2022
ASN00001025 -15.3797 126.3114 DAPR 1994 2021
ASN00001025 -15.3797 126.3114 DATN 1988 2021
ASN00001025 -15.3797 126.3114 DATX 1988 2021
ASN00001025 -15.3797 126.3114 DWPR 1994 2010
ASN00001025 -15.3797 126.3114 MDPR 1994 2021
ASN00001025 -15.3797 126.3114 MDTN 1988 2021
ASN00001025 -15.3797 126.3114 MDTX 1988 2021
ASN00001026 -15.7025 126.3786 PRCP 1988 2022
ASN00001026 -15.7025 126.3786 DAPR 2002 2008
ASN00001026 -15.7025 126.3786 DWPR 2002 2008
ASN00001026 -15.7025 126.3786 MDPR 2002 2008
ASN00001027 -15.6394 128.0803 PRCP 1971 2022
ASN00001027 -15.6394 128.0803 DAPR 2004 2022
ASN00001027 -15.6394 128.0803 DWPR 2004 2022
ASN00001027 -15.6394 128.0803 MDPR 2004 2022
ASN00001028 -15.7231 127.8297 PRCP 1991 2020
ASN00001028 -15.7231 127.8297 DAPR 1996 2020
ASN00001028 -15.7231 127.8297 DWPR 1996 2020
ASN00001028 -15.7231 127.8297 MDPR 1996 2020
ASN00001030 -14.5786 125.9133 PRCP 1995 2013
ASN00001030 -14.5786 125.9133 DAPR 1995 2007
ASN00001030 -14.5786 125.9133 DWPR 1995 2007
ASN00001030 -14.5786 125.9133 MDPR 1995 2007
ASN00001031 -13.9600 127.1964 PRCP 1996 2022
ASN00001031 -13.9600 127.1964 DAPR 1998 2020
ASN00001031 -13.9600 127.1964 DWPR 1998 2020
ASN00001031 -13.9600 127.1964 MDPR 1998 2020
ASN00001032 -14.1472 126.6483 PRCP 1997 2000
ASN00001032 -14.1472 126.6483 DAPR 1998 2000
ASN00001032 -14.1472 126.6483 DWPR 1998 2000
ASN00001032 -14.1472 126.6483 MDPR 1998 2000
ASN00001035 -15.5969 128.2781 PRCP 2003 2022
ASN00001035 -15.5969 128.2781 DAPR 2003 2021
ASN00001035 -15.5969 128.2781 DWPR 2003 2021
ASN00001035 -15.5969 128.2781 MDPR 2003 2021
ASN00002000 -17.7569 127.9386 PRCP 1905 2002
ASN00002000 -17.7569 127.9386 DAPR 1972 2002
ASN00002000 -17.7569 127.9386 DWPR 1972 2002
ASN00002000 -17.7569 127.9386 MDPR 1972 2002
ASN00002001 -16.5039 128.9172 PRCP 1890 2016
ASN00002001 -16.5039 128.9172 DAPR 1975 2004
ASN00002001 -16.5039 128.9172 DWPR 1975 2004
ASN00002001 -16.5039 128.9172 MDPR 1975 2004
ASN00002002 -18.8833 126.2333 PRCP 1906 1959
ASN00002003 -16.8700 128.1836 PRCP 1945 1994
ASN00002003 -16.8700 128.1836 DAPR 1973 1975
ASN00002003 -16.8700 128.1836 DWPR 1973 1975
ASN00002003 -16.8700 128.1836 MDPR 1973 1975
ASN00002004 -16.5833 128.3667 PRCP 1962 1964
ASN00002005 -15.4864 128.5344 PRCP 1898 2021
ASN00002005 -15.4864 128.5344 DAPR 1907 2008
ASN00002005 -15.4864 128.5344 DWPR 1907 2008
ASN00002005 -15.4864 128.5344 MDPR 1907 2008
ASN00002006 -15.5000 128.2500 PRCP 1910 1921
ASN00002007 -16.3167 128.2500 PRCP 1920 1970
ASN00002008 -18.3167 128.0000 PRCP 1899 1975
ASN00002008 -18.3167 128.0000 DAPR 1967 1967
ASN00002008 -18.3167 128.0000 DWPR 1967 1967
ASN00002008 -18.3167 128.0000 MDPR 1967 1967
