,index,year,filiere,banque,ecole,inscrits_nb,inscrits_filles,inscrits_cinq_demi,admissibles_nb,admissibles_filles,admissibles_cinq_demi,classes_nb,classes_filles,classes_cinq_demi,rg_dernier_appele,integres_nb,integres_filles,integres_cinq_demi,places,appeles,integres_rg_median,integres_rg_moyen
53,7667,2016,mp,Concours Mines-Télécom,Concours Mines-Télécom,4736.0,23.2,23.0,2805.0,21.0,24.8,2583.0,21.0,25.1,,500.0,,,485.0,,,
54,7673,2016,mp,Concours Mines-Télécom,Concours Mines Télécom G4 MP,4736.0,23.2,23.0,3889.0,22.2,23.3,3189.0,22.1,24.1,,109.0,,,97.0,,,
55,7679,2016,mp,CONCOURS ESTP,ESTP,1129.0,27.5,29.1,954.0,27.7,29.8,817.0,27.7,31.6,,181.0,,,168.0,,,
56,7772,2016,mp,CONCOURS POLYTECH Inter-Filière,Concours POLYTECH,2825.0,26.1,24.4,1882.0,26.8,22.5,1621.0,26.6,24.7,,242.0,,,779.0,,,
57,7780,2016,mp,Autres écoles E3A,EIL Côte d'Opale Longuenesse-Calais,312.0,33.3,32.1,232.0,34.9,33.2,128.0,39.8,36.7,,19.0,,,25.0,,,
58,7785,2016,mp,Autres écoles E3A,ENSAIT Roubaix,380.0,37.1,25.3,249.0,38.2,27.3,53.0,47.2,30.2,,8.0,,,12.0,,,
59,7792,2016,mp,Autres écoles E3A,EPF Sceaux-Troyes-Montpellier,382.0,35.9,16.5,332.0,38.0,16.6,192.0,41.7,17.7,,12.0,,,20.0,,,
60,7806,2016,mp,Autres écoles E3A,ESTACA Paris-Saclay/Laval,511.0,26.4,21.9,421.0,27.6,24.5,292.0,26.0,29.1,,25.0,,,20.0,,,
61,7812,2016,mp,Autres écoles E3A,INSA Centre Val de Loire,532.0,30.8,28.8,305.0,31.8,21.6,60.0,31.7,23.3,,18.0,,,24.0,,,
62,7833,2016,mp,EPITA,EPITA / IPSA MP,288.0,21.2,16.7,200.0,19.5,14.5,120.0,20.8,11.7,,19.0,,,31.0,,,
63,7861,2016,pc,BANQUE CENTRALE-SUPELEC,Cycle International Centrale-Supelec,22.0,54.5,18.2,,,,18.0,55.6,22.2,,6.0,,,17.0,,,
64,7872,2016,pc,CONCOURS COMMUN MINES-PONTS,Concours Commun Mines Ponts PC,3418.0,32.0,24.9,1064.0,27.1,28.8,1036.0,27.5,28.9,,251.0,,,243.0,,,
65,7912,2016,pc,CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE,Concours Commun Polytechnique PC-Physique,4796.0,35.4,22.7,3699.0,35.5,24.5,3242.0,37.1,25.5,,611.0,,,603.0,,,
66,7929,2016,pc,CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE,Concours Commun Polytechnique PC-Chimie,4601.0,37.1,22.9,3690.0,37.3,24.5,3267.0,38.6,25.4,,572.0,,,613.0,,,
67,7942,2016,pc,BANQUE EPREUVES C.C.P,ENSISA Mulhouse PC,705.0,44.1,22.1,583.0,45.3,23.2,107.0,55.1,33.6,,22.0,,,22.0,,,
68,7961,2016,pc,Concours Mines-Télécom,Concours Mines-Télécom,3384.0,34.4,24.9,1997.0,32.9,26.4,1874.0,33.1,27.1,,280.0,,,266.0,,,
69,7967,2016,pc,Concours Mines-Télécom,Concours Mines Télécom G4 PC,3384.0,34.4,24.9,2675.0,33.9,25.6,2136.0,33.1,26.9,,32.0,,,29.0,,,
70,7973,2016,pc,CONCOURS ESTP,ESTP,1081.0,34.7,29.6,903.0,36.2,30.6,830.0,37.3,31.6,,200.0,,,170.0,,,
71,8066,2016,pc,CONCOURS POLYTECH Inter-Filière,Concours POLYTECH,2370.0,41.3,22.4,1740.0,43.5,22.5,1538.0,44.5,24.6,,193.0,,,779.0,,,
72,8073,2016,pc,Autres écoles E3A,EIL Côte d'Opale Longuenesse-Calais,136.0,37.5,15.4,107.0,38.3,16.8,43.0,37.2,23.3,,3.0,,,8.0,,,
73,8078,2016,pc,Autres écoles E3A,ENSAIT Roubaix,556.0,58.1,21.0,442.0,60.0,22.9,138.0,73.9,26.8,,37.0,,,46.0,,,
74,8084,2016,pc,Autres écoles E3A,EPF Sceaux-Troyes-Montpellier,463.0,45.4,18.4,415.0,47.0,19.0,211.0,50.7,20.9,,24.0,,,20.0,,,
75,8098,2016,pc,Autres écoles E3A,ESTACA Paris-Saclay/Laval,505.0,26.5,24.4,416.0,27.6,26.0,301.0,29.6,29.6,,23.0,,,20.0,,,
76,8104,2016,pc,Autres écoles E3A,INSA Centre Val de Loire,320.0,37.8,20.0,222.0,37.8,19.4,27.0,37.0,14.8,,7.0,,,16.0,,,
77,8125,2016,pc,EPITA,EPITA / IPSA PC,175.0,27.4,17.1,118.0,26.3,10.2,80.0,26.2,8.8,,14.0,,,18.0,,,
78,10157,2020,pc,BANQUE CENTRALE-SUPELEC,Concours Cycle International Centrale-Supelec PC,28.0,50.0,7.1,,,,23.0,47.8,8.7,,10.0,,,16.0,,,
79,10161,2020,pc,BANQUE CENTRALE-SUPELEC,Concours ARTS ET MÉTIERS ParisTech PC,1639.0,32.3,25.5,,,,912.0,31.9,29.1,,22.0,,,22.0,,,
80,10167,2020,pc,BANQUE CENTRALE-SUPELEC,Concours EPF Sceaux-Troyes-Montpellier PC,651.0,45.9,22.1,,,,543.0,47.7,22.5,,25.0,,,19.0,,,
81,10174,2020,pc,BANQUE CENTRALE-SUPELEC,Concours ESTP PC,1236.0,32.8,26.2,,,,959.0,33.3,25.7,,116.0,,,175.0,,,
82,10189,2020,pc,CONCOURS COMMUN MINES-PONTS,Concours CCMP PC,3497.0,33.4,21.9,,,,1351.0,29.2,23.4,,404.0,,,387.0,,,
83,10201,2020,pc,Concours Mines - Télécom,Concours Mines-Télécom PC,3680.0,35.1,22.4,,,,2024.0,35.1,23.1,,245.0,,,241.0,,,
84,10208,2020,pc,Concours Mines - Télécom,Concours Mines-Télécom Spécifique PC,3680.0,35.1,22.4,,,,2760.0,36.2,22.8,,50.0,,,46.0,,,
85,10211,2020,pc,CONCOURS COMMUN TPE,Concours TPE-Candidats français et de l'Union européenne-filière PC,2104.0,35.9,24.6,,,,1265.0,35.6,25.4,,51.0,,,50.0,,,
86,10251,2020,pc,CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE,Concours CCINP PC-Physique,4730.0,36.7,21.2,,,,3699.0,36.4,22.0,,614.0,,,599.0,,,
87,10267,2020,pc,CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE,Concours CCINP PC-Chimie,4531.0,38.0,21.0,,,,3460.0,37.6,22.1,,516.0,,,530.0,,,
88,10273,2020,pc,BANQUE EPREUVES CCINP  Inter-Filière,Concours ENSIL-ENSCI Inter Fil.,971.0,46.3,18.6,,,,768.0,47.5,20.2,,42.0,,,145.0,,,
89,10285,2020,pc,BANQUE EPREUVES CCINP,Concours ENSISA PC,790.0,43.7,18.6,,,,693.0,44.3,19.5,,21.0,,,22.0,,,
90,10390,2020,pc,CONCOURS POLYTECH Inter-Filière,Concours POLYTECH MP-PC-PSI,2353.0,43.1,18.9,,,,1799.0,45.2,19.2,,178.0,,,739.0,,,
91,10402,2020,pc,Puissance Alpha,Concours ISEN Méditerrannée PC,974.0,42.2,18.2,,,,859.0,43.8,18.4,,5.0,,,20.0,,,
92,10405,2020,pc,Puissance Alpha,Concours ISEN Ouest PC,974.0,42.2,18.2,,,,859.0,43.8,18.4,,2.0,,,10.0,,,
93,10411,2020,pc,Avenir Prépas,Concours ECE Paris-Lyon PC,1117.0,39.9,19.0,,,,984.0,41.7,19.1,,39.0,,,46.0,,,
94,10421,2020,pc,Avenir Prépas,Concours ESTACA Paris-Saclay/Laval PC,1117.0,39.9,19.0,,,,231.0,41.1,19.9,,7.0,,,7.0,,,
95,10432,2020,pc,Autres écoles E3A,Concours EIL Côte d'Opale Longuenesse-Calais-Dunkerque PC,210.0,44.8,14.3,,,,145.0,42.8,13.1,,3.0,,,18.0,,,
96,10435,2020,pc,Autres écoles E3A,Concours ENSAIT Roubaix PC,594.0,55.6,18.7,,,,441.0,56.9,17.9,,36.0,,,37.0,,,
97,10448,2020,pc,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie mécanique, génie industriel et mécatronique PSI-PT",3281.0,21.0,17.7,,,,1956.0,21.3,19.4,,59.0,,,61.0,,,
98,10453,2020,pc,Groupe INSA Inter-Filière,Concours INSA DomaineBiotechnologies-santé MP-PC-PSI-BCPST-TPC,4009.0,47.3,19.8,,,,2097.0,49.7,21.5,,22.0,,,13.0,,,
99,10461,2020,pc,Groupe INSA Inter-Filière,Concours INSA DomaineEnergétique – Génie Chimique – Environnement MP-PC-PSI,4146.0,37.5,19.3,,,,1506.0,37.5,21.6,,35.0,,,43.0,,,
100,10468,2020,pc,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie électrique, électronique, automatique MP-PC-PSI-PT",4812.0,24.9,18.7,,,,1964.0,24.2,20.1,,23.0,,,31.0,,,
101,10475,2020,pc,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie civil, urbanisme, topographie MP-PC",2294.0,36.4,19.4,,,,1186.0,38.2,18.7,,17.0,,,19.0,,,
102,10482,2020,pc,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie civil, urbanisme, topographie PSI-PT",2396.0,25.2,17.7,,,,1278.0,25.0,20.6,,36.0,,,37.0,,,
103,10491,2020,pc,Groupe INSA Inter-Filière,"Concours INSA Domaine Informatique, mathématique, modélisation PC-PSI-PT",3132.0,23.5,19.5,,,,1047.0,22.4,21.7,,20.0,,,22.0,,,
104,10502,2020,pc,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie mécanique, génie industriel et mécatronique PSI-PT",3281.0,21.0,17.7,,,,1956.0,21.3,19.4,,81.0,,,111.0,,,
105,10508,2020,pc,Groupe INSA Inter-Filière,Concours INSA Domaine Génie physique et matériaux MP-PC-PSI,4540.0,32.5,19.2,,,,2206.0,33.7,19.9,,27.0,,,46.0,,,
106,10514,2020,pc,Groupe INSA Inter-Filière,Concours INSA Domaine Génie physique et matériaux TSI-PT-TPC,1609.0,14.2,19.1,,,,702.0,13.2,21.5,,4.0,,,12.0,,,
107,10524,2020,pc,CESI,Concours CESI Ecole d'Ingénieurs-Ingénieur Généraliste,385.0,30.6,15.8,,,,162.0,36.4,17.3,,24.0,,,89.0,,,
