,ecole,longitude,latitude,postalcode
125,ENSAIT Roubaix,3.1682748,50.6944887,59100
126,ENSISA Mulhouse Informatique et réseaux,7.310896100000001,47.7290842,68093
127,ENSISA Mulhouse Mécanique,7.310896100000001,47.7290842,68093
128,ENSISA Mulhouse Système et signaux,7.310896100000001,47.7290842,68093
129,ENSISA Mulhouse Textile et Fibres,7.310896100000001,47.7290842,68093
130,ENSISA Mulhouse TSI,7.310896100000001,47.7290842,68093
131,ENSTA Bretagne (ex ENSIETA) Militaire,-4.4720707,48.41908,29200
132,ESIGELEC Rouen,1.0768848,49.3832749,76800
133,ESIREM Dijon Info-élec.,5.073972299999999,47.3121732,21000
134,ESIREM Dijon Mat.,5.073972299999999,47.3121732,21000
135,ESIREM Dijon TSI,5.073972299999999,47.3121732,21000
136,ESTIA Bidart,-1.5511938,43.445714,64210
137,ESTP Paris BAT,2.3174735,48.8889861,75017
138,ESTP Paris MECA-ELEC,2.3522219,48.856614,75004
139,ESTP Paris TOPOGRAPHIE,2.3522219,48.856614,75004
140,ESTP Paris TP,2.3522219,48.856614,75004
141,ESTP Paris,2.3522219,48.856614,75004
142,Ecole des Mines d'Albi,2.178954,43.922508,81000
143,Ecole des Mines d'Alès,4.0896303,44.1327151,30100
144,Ecole des Mines Douai,3.0676659,50.3755213,59500
145,Ecole des Mines Nantes,-1.5208446,47.2822842,44300
146,"Concours des Ecoles des Mines d'Albi, Alès, Douai, Nantes",3.0676659,50.3755213,59500
147,ISAT Nevers-département Concept Car (CC),3.1714703,46.997819,58027
148,ISAT Nevers-département Energétique Propulsion Electronique pour l'Environnement (EP2E),3.1714703,46.997819,58027
149,ISAT Nevers TSI,3.1714703,46.997819,58027
150,ISEP Paris,2.3280245,48.8453227,75006
151,"Environnement, Aménagement, Génie civil, Développement durable-Polytech Annecy-Chambéry",6.1577674,45.91949779999999,74940
152,"Énergie électrique, Systèmes électroniques, informatiques et optiques-Polytech Annecy-Chambéry",6.1577674,45.91949779999999,74940
153,"Mécanique, Énergie, Matériaux, Mécatronique-Polytech Annecy-Chambéry",6.1577674,45.91949779999999,74940
154,"Informatique, Modélisation mathématique, Gestion-Polytech Clermont-Ferrand",3.1092253,45.7608031,63100
155,"Énergie électrique, Systèmes électroniques, informatiques et optiques-Polytech Clermont-Ferrand",3.1092253,45.7608031,63100
156,"Mécanique, Énergie, Matériaux, Mécatronique-Polytech Clermont-Ferrand",3.1092253,45.7608031,63100
157,"Automatique, Robotique, Systèmes industriels-Polytech Grenoble",5.752253,45.1846156,38400
158,Matériaux-Polytech Grenoble,5.752253,45.1846156,38400
159,"Énergie électrique, Systèmes électroniques, informatiques et optiques-Polytech Lille",3.1370078,50.6078394,59655
160,Mécanique-Polytech Lille,3.1370078,50.6078394,59655
161,"Génie Civil, Bâtiment, Géosciences-Polytech Marseille",5.4431033,43.23194669999999,13009
162,"Automatique, Robotique, Systèmes industriels-Polytech Marseille",5.4431033,43.23194669999999,13009
163,"Électronique, Réseaux et télécommunications-Polytech Marseille",5.4431033,43.23194669999999,13009
164,"Énergétique, Thermique-Polytech Marseille",5.4431033,43.23194669999999,13009
165,"Énergie électrique, Systèmes électroniques, informatiques et optiques-Polytech Montpellier",3.8625953,43.6327433,34095
166,Énergie électrique-Polytech Nantes,-1.5158639,47.2819356,44300
167,"Électronique, Réseaux et télécommunications-Polytech Nantes",-1.5158639,47.2819356,44300
168,"Électronique, Réseaux et télécommunications-Polytech Nice",7.0717782,43.6155521,06410
169,"Mécanique, Énergie, Matériaux, Mécatronique-Polytech Orléans",1.9390229,47.8440593,45100
170,"Énergie électrique, Systèmes électroniques, informatiques et optiques-Polytech Orléans",1.9390229,47.8440593,45100
171,"Informatique, Modélisation mathématique, Gestion-Polytech Tours",0.6847464999999999,47.3646921,37200
172,"Mécanique, Énergie, Matériaux, Mécatronique-Polytech Tours",0.6877878,47.3645904,37200
173,"Énergie électrique, Systèmes électroniques, informatiques et optiques-Polytech Tours",0.6847464999999999,47.3646921,37200
174,Reseau Polytech,2.3577864,48.8462524,75005
175,EIL Côte d'Opale-Calais (informatique),1.880568,50.9525945,62100
176,EPITA,2.3628171,48.81566540000001,94270
177,ENS Cachan-Ker Lan,2.1649417,48.7123564,91190
178,ENS Cachan-PSI,2.1649417,48.7123564,91190
179,Concours Commun Mines Ponts PSI,2.3358177,48.8304214,75014
180,CENTRALE MARSEILLE Cycle International,5.4371117,43.3424593,13013
181,ECOLE NAVALE Brest,-4.4246113,48.28053389999999,29160
182,ENSIIE Strasbourg,2.4322721,48.6267007,91000
183,ENSIIE,2.4322721,48.6267007,91000
184,ENSEIRB-MATMECA Bordeaux MATMECA,-0.6051667,44.80663759999999,33400
185,ENSICAEN Informatique,-0.367627,49.214099,14000
186,Grenoble INP-Esisar,4.9137536,44.9172604,26000
187,Grenoble INP-Phelma (Physique Matériaux Procédés),5.710399499999999,45.1949333,38000
188,Grenoble INP-Phelma (Physique Electronique Télécoms),5.710399499999999,45.1949333,38000
189,Grenoble INP-ENSIMAG,5.768265899999999,45.1934574,38400
190,ENSIC Nancy,6.179947200000001,48.69961139999999,54000
191,ENSGTI Pau-Energétique,-0.3644096000000001,43.3194063,64000
192,ENAC Toulouse Civil,1.4830052,43.5642909,31400
193,ENAC Toulouse Fonctionnaire,1.4830052,43.5642909,31400
194,ENSEEIHT Toulouse Hydraulique,1.455808,43.6021194,31000
195,ENSEEIHT Toulouse Informatique et Mathématiques appliquées,1.455808,43.6021194,31000
196,ENSEEIHT Toulouse Télécom.réseaux,1.455808,43.6021194,31000
197,ENSIACET Toulouse Génie des Procédés,1.5010751,43.5548178,31030
198,ENSIACET Toulouse Génie Industriel,1.5010751,43.5548178,31030
199,Concours Commun Polytechnique PSI,2.2112917,48.7142971,91120
200,ECOLE DE L'AIR Pilote,5.1130749,43.6199016,13300
201,ECOLE DE L'AIR Base,5.1130749,43.6199016,13300
202,ECOLE DE L'AIR Méca,5.1130749,43.6199016,13300
203,EEIGM,6.1934152,48.6955015,54000
204,ENSCI Limoges,1.2952454,45.86102899999999,87280
205,ESM Saint-Cyr,-2.1498977,47.94579,56380
206,Grenoble INP-Génie Industriel,5.7175052,45.1908463,38000
207,EISTI Cergy-Pau,2.0697464,49.0350546,95000
208,ENGEES Strasbourg PSI,7.758007800000001,48.5849696,67070
209,ENSISA Mulhouse PSI,7.310896100000001,47.7290842,68093
210,ENTPE Vaulx en Velin Etranger,4.9223494,45.77860829999999,69120
211,EIVP Paris Civil,2.3819219,48.8740846,75019
212,EIVP Paris Fonctionnaire,2.3819219,48.8740846,75019
213,ENSTIM Fonct. Douai,3.0676659,50.3755213,59500
214,TELECOM SudParis-cursus Tunis,2.4433504,48.6249477,91000
215,concours Télécom SudParis PSI,2.4433504,48.6249477,91000
216,Ecole des Mines d'Albi Voie du Concours Mines Ponts,2.178954,43.922508,81000
217,Ecole des Mines d'Alès Voie du Concours Mines Ponts,4.0896303,44.1327151,30100
218,Ecole des Mines Douai Voie du Concours Mines Ponts,3.0676659,50.3755213,59500
219,Ecole des Mines Nantes Voie du Concours Mines Ponts,-1.5208446,47.2822842,44300
220,ESTP,2.3289568,48.7942048,94230
221,"Automatique, Robotique, Systèmes industriels-Polytech Paris-UPMC",2.3577864,48.8462524,75005
222,ENSC Bordeaux,-0.5975148,44.8062267,33400
223,ENSIBS Lorient,-3.396507,47.74767199999999,56100
224,ENSIM Le Mans,0.1575925,48.0189222,72000
225,ESI Reims Packaging,4.0645583,49.2377566,51100
226,ESI Reims Thermique et Energétique,4.0645583,49.2377566,51100
227,ESIL Marseille Biomédical,5.4431891,43.2322616,13288
228,"ESIL Marseille Informatique, réseaux et multimédia",5.4431891,43.2322616,13288
229,ESIL Marseille Mat.,5.4440806,43.2332509,13009
230,ESIR Rennes (ex IFSIC),-1.6364057,48.118086,35042
231,ESIROI,55.49073199999999,-21.3403709,97410
232,ESSTIN Nancy,6.1883149,48.6597371,54519
233,"Environnement, Aménagement, Génie civil, Développement durable-Polytech Clermont-Ferrand",3.1092253,45.7608031,63100
234,"Environnement, Aménagement, Génie civil, Développement durable-Polytech Lille",3.1370078,50.6078394,59655
235,"Environnement, Aménagement, Génie civil, Développement durable-Polytech Nantes",-1.5158639,47.2819356,44300
236,"Génie Civil, Bâtiment, Géosciences-Polytech Nice",7.0717782,43.6155521,06410
237,"Hygiène, Sécurité, Qualité-Polytech Grenoble",5.752253,45.1846156,38400
238,ISEL,-81.7358833,30.3208353,32254
239,ISITV Toulon Ingénierie Marine,6.0117444,43.1362623,83130
240,ISITV Toulon Ingénierie des Matériaux,6.0117444,43.1362623,83130
241,ISITV Toulon Télécommunications,6.0117444,43.1362623,83130
242,ISTIA,11.1858047,42.7800818,58100
243,ISTIL EPU Lyon 1,4.8683428,45.7791677,69100
244,ISTY Versailles,2.2176517,48.7820684,78140
245,Informatique-Polytech Grenoble,5.752253,45.1846156,38400
246,Informatique-Polytech Nantes,-1.5158639,47.2819356,44300
247,Informatique-Polytech Nice,7.0717782,43.6155521,06410
248,"Informatique, Modélisation mathématique, Gestion-Polytech Lille",3.1370078,50.6078394,59655
249,"Mathématiques appliquées, Modélisation-Polytech Nice",7.0717782,43.6155521,06410
250,Matériaux-Polytech Lille,3.1370078,50.6078394,59655
251,Matériaux-Polytech Nantes,-1.5158639,47.2819356,44300
252,Mécanique-Polytech Montpellier,3.8625953,43.6327433,34095
253,"Métrologie, Instrumentation-Polytech Lille",3.1370078,50.6078394,59655
254,Sup Galilée Villetaneuse,2.339919,48.9576333,93430
255,"Énergie électrique, Systèmes électroniques, informatiques et optiques-Polytech Paris-Sud",2.1712321,48.70902239999999,91190
256,"Énergie électrique, Systèmes électroniques, informatiques et optiques-Polytech Paris-UPMC",2.3577864,48.8462524,75005
257,"Énergétique, Thermique-Polytech Montpellier",3.8625953,43.6327433,34095
258,"Énergétique, Thermique-Polytech Nantes",-1.5158639,47.2819356,44300
259,Concours Commun ARCHIMEDE,2.2112917,48.7142971,91120
260,ECE PARIS,2.2864819,48.8517668,75015
261,EFREI Paris,2.3640636,48.7885773,94800
262,EI-ISPA Alençon,0.0587716999999999,48.4442826,61250
263,EIDD Paris,2.382824,48.8267406,75013
264,EIGSI,-1.1544972,46.1397264,17041
265,EIL Côte d'Opale (ex EIPC),1.880568,50.9525945,62100
266,EME,2.5044068,48.7579942,94470
267,ENI Val de Loire-Blois,1.3359475,47.58609209999999,41000
268,ENSIL Limoges ELT,1.2952454,45.86102899999999,87280
269,ENSIL Limoges Matériaux,1.2952454,45.86102899999999,87280
270,ENSIL Limoges Mécatronique,1.2952454,45.86102899999999,87280
271,ESB Nantes,-1.5145104,47.2839402,44000
272,ESIEA Laval,-0.7567847,48.08794779999999,53000
273,ESIEA Paris,2.3784328,48.81446889999999,94200
274,ESIEA Paris-Laval,2.3784328,48.81446889999999,94200
275,ESIGETEL Fontainebleau,2.3640636,48.7885773,94800
276,ESITC Caen,-0.366253,49.2161925,14610
277,ESME Sudria Ivry sur Seine,2.3929998,48.8140771,94200
278,ISIS Castres,2.2691342,43.6247406,81104
279,ECAM Lyon,4.825207499999999,45.7627288,69321
280,ECAM Rennes Louis de Broglie,-1.7430977,48.04685850000001,35170
281,ECAM Strasbourg Europe,7.7057,48.609013,67300
282,EPMI Cergy,2.0750699,49.0316204,95000
283,ESAIP,-0.4973334,47.464054,49124
284,ESEO Angers,-0.5510644,47.4928835,49100
285,HEI,2.2885315,48.8511532,75015
286,ISEN Brest,-4.495553999999999,48.4070554,29200
287,ISEN Lille,3.0487604,50.6342041,59800
288,ISEN Toulon,5.9396605,43.1206202,83000
289,LASALLE BEAUVAIS,1.0730946,49.4674696,76130
290,Concours Commun Mines-Ponts PT,2.3358177,48.8304214,75014
291,ENSG Marne la Vallée Civil,2.5879613,48.8410851,77420
292,Concours Commun Polytechnique PT,2.2112917,48.7142971,91120
293,ENSISA Mulhouse,7.310896100000001,47.7290842,68093
294,ESFF-Sèvres,2.2247254,48.8229484,92310
295,ITECH Lyon,4.7675392,45.7862021,69134
296,ECOLE POLYTECHNIQUE Info.,2.2112917,48.7142971,91120
297,ECOLE POLYTECHNIQUE P&SI,2.2112917,48.7142971,91120
298,ENS Ulm MPI,2.3451689,48.8422058,75005
299,ENS Ulm Info.,2.3451689,48.8422058,75005
300,ENS Cachan MP,2.1649417,48.7123564,91190
301,ENS Cachan-Ker Lan MP,2.1649417,48.7123564,91190
302,Concours ENS Cachan groupe MP,2.1649417,48.7123564,91190
303,ENS Cachan Info.,2.1649417,48.7123564,91190
304,ENS Cachan-Ker Lan Info.,2.1649417,48.7123564,91190
305,Concours ENS Cachan groupe Informatique,2.1649417,48.7123564,91190
306,ENS Lyon MPI,4.8334497,45.7332787,69342
307,ENS Lyon Info.,4.8334497,45.7332787,69342
308,ENSAE ParisTech,2.2076467,48.711006,91120
309,Concours Commun Mines Ponts MP,2.3358177,48.8304214,75014
