,City,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
0,"Chennai, India",61.15,2.78,2.64,35.96,37.82,613.81,0.16
1,"Minsk, Belarus",40.0,7.53,3.19,13.27,31.36,704.06,0.14
2,"Hyderabad, India",34.86,1.25,0.98,79.77,101.87,460.64,0.22
3,"Cluj-Napoca, Romania",34.05,2.04,3.27,49.08,30.61,316.76,0.32
4,"Bucharest, Romania",30.89,4.3,4.22,23.25,23.7,408.22,0.24
5,"Budva, Montenegro",30.0,1.25,1.47,79.79,67.82,323.9,0.31
6,"Kiev (Kyiv), Ukraine",27.84,4.07,3.26,24.6,30.72,515.52,0.19
7,"Moscow, Russia",27.69,3.24,4.19,30.89,23.89,320.66,0.31
8,"Zaragoza (Saragossa), Spain",24.61,2.24,2.3,44.55,43.41,160.11,0.62
9,"Beijing, China",22.29,4.47,4.49,22.35,22.25,170.64,0.59
10,"Vilnius, Lithuania",20.84,3.38,2.64,29.62,37.83,596.14,0.17
11,"Shanghai, China",20.68,4.94,5.64,20.24,17.74,158.32,0.63
12,"Belgrade, Serbia",19.89,3.7,4.6,27.0,21.74,254.49,0.39
13,"Delhi, India",19.57,1.77,2.45,56.42,40.78,283.5,0.35
14,"Warsaw, Poland",19.1,3.32,2.99,30.09,33.5,177.67,0.56
15,"Riga, Latvia",18.33,4.04,2.61,24.76,38.3,212.3,0.47
16,"Madrid, Spain",16.99,3.31,4.38,30.22,22.83,138.31,0.72
17,"Seville (Sevilla), Spain",16.88,3.67,4.15,27.27,24.12,96.79,1.03
18,"Paris, France",16.45,2.54,3.08,39.33,32.48,130.29,0.77
19,"Pune, India",16.39,1.95,6.03,51.4,16.58,125.53,0.8
20,"Athens, Greece",16.38,2.53,2.14,39.58,46.66,152.36,0.66
21,"Bilbao, Spain",16.35,2.66,3.09,37.59,32.41,129.45,0.77
22,"Seoul, South Korea",16.29,2.21,1.37,45.18,72.77,182.18,0.55
23,"Bangkok, Thailand",15.96,5.9,5.36,16.96,18.67,160.18,0.62
24,"Asuncion, Paraguay",15.56,4.65,3.27,21.49,30.59,468.06,0.21
25,"Novi Sad, Serbia",15.5,2.48,3.85,40.27,25.98,179.49,0.56
26,"Bratislava, Slovakia",15.1,4.13,3.43,24.19,29.13,114.64,0.87
27,"Tehran, Iran",14.9,7.7,8.18,12.99,12.23,155.21,0.64
28,"Prague, Czech Republic",14.89,3.66,3.33,27.31,30.03,149.44,0.67
29,"London, United Kingdom",14.73,3.35,3.07,29.83,32.58,121.63,0.82
30,"Sofia, Bulgaria",14.64,5.5,5.13,18.19,19.5,171.29,0.58
31,"Perm, Russia",14.48,4.63,5.92,21.6,16.89,222.45,0.45
32,"Singapore, Singapore",14.35,3.54,3.69,28.27,27.08,89.17,1.12
33,"Milan, Italy",14.25,4.19,4.76,23.89,21.01,117.61,0.85
34,"Tallinn, Estonia",14.08,2.69,1.94,37.18,51.65,141.33,0.71
35,"Tarragona, Spain",13.75,3.48,3.43,28.75,29.18,95.69,1.05
36,"Valladolid, Spain",13.75,4.29,5.78,23.33,17.29,83.47,1.2
37,"Barcelona, Spain",13.62,3.21,2.9,31.12,34.54,88.64,1.13
