Modele,Marque,Energie,Consommation,Rejets CO2,Rejets CO2 Classe
911 TURBO COUPE,PORSCHE,ES,12.05,273.0,G
911 TURBO S COUPE,PORSCHE,ES,12.05,273.0,G
911 TURBO CABRIOLET,PORSCHE,ES,12.05,273.0,G
911 TURBO S CABRIOLET,PORSCHE,ES,12.05,273.0,G
MUSTANG Fastback 5.0 V8 - BVA,FORD,ES,12.4,284.0,G
X5 M50i,BMW,ES,12.1,275.5,G
X6 M50i,BMW,ES,12.1,275.5,G
GHIBLI TROFEO,MASERATI,ES,12.5,282.0,G
QUATTROPORTE TROFEO,MASERATI,ES,12.5,282.0,G
RS6 Avant V8 4.0 TFSI (600ch) quattro tiptronic 8,AUDI,EH,12.25,278.0,G
RS7 Sportback V8 4.0 TFSI (600ch) quattro tiptronic 8,AUDI,EH,12.25,278.0,G
FLYING SPUR,BENTLEY,ES,12.7,288.0,G
GHIBLI S Q4,MASERATI,ES,12.35,282.0,G
QUATTROPORTE SQ4,MASERATI,ES,12.35,282.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surélevé,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surélevé,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,11.0,288.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,11.0,288.0,G
488 PISTA SPIDER,FERRARI,ES,12.8,289.0,G
SQ8 TFSI (507ch) quattro Tiptronic 8,AUDI,ES,12.5,284.5,G
AMG E 63 S 4MATIC+,MERCEDES,ES,12.15,276.0,G
AMG E 63 4MATIC+,MERCEDES,ES,12.15,276.0,G
AMG GLE 63 S 4MATIC+,MERCEDES,EH,12.350000000000001,281.0,G
GLS 580 4MATIC,MERCEDES,EH,12.45,283.0,G
F8 Tributo,FERRARI,ES,12.9,292.0,G
LEVANTE S,MASERATI,ES,12.45,281.5,G
LEVANTE MODENA S,MASERATI,ES,12.45,281.5,G
AMG GT Black Series,MERCEDES,ES,12.8,292.0,G
911 GT3 PACK TOURING,PORSCHE,ES,12.9,292.0,G
CAYENNE S,PORSCHE,ES,12.55,284.0,G
CAYENNE COUPE S,PORSCHE,ES,12.55,284.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,GO,11.2,293.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,11.2,293.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,11.2,293.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,11.2,293.0,G
911 GT3,PORSCHE,ES,12.9,293.0,G
911 GT3 PACK TOURING,PORSCHE,ES,12.9,293.0,G
