date,ID,lat,long,value
2012-01,ASN00059140,-30.3442,152.7187,8816
2012-01,ASN00058171,-28.9263,153.4178,4774
2012-01,ASN00058186,-28.3283,153.4,6000
2012-01,ASN00058193,-28.3538,153.293,6020
2012-01,ASN00058194,-28.3811,152.7174,2070
2012-01,ASN00058198,-28.8353,153.5585,3530
2012-01,ASN00058199,-28.7364,153.1634,4294
2012-01,ASN00058201,-28.7967,153.2386,2480
2012-01,ASN00058202,-28.7406,153.075,2960
2012-01,ASN00058204,-28.3217,153.3467,8260
2012-01,ASN00058206,-28.7231,153.3614,3340
2012-01,ASN00058180,-28.6069,153.2083,3680
2012-01,ASN00060002,-32.4129,152.2079,1340
2012-01,ASN00060015,-32.0063,151.9597,356
2012-01,ASN00060017,-31.7004,152.5833,3300
2012-01,ASN00060144,-32.3796,152.5062,1606
2012-01,ASN00060147,-31.7361,152.3989,2200
2012-01,ASN00060148,-32.1625,152.2614,1490
2012-01,ASN00061007,-32.0332,150.5836,316
2012-01,ASN00061010,-32.5879,151.7813,756
2012-01,ASN00061014,-32.6385,151.4173,524
2012-01,ASN00061017,-32.4022,151.7582,832
2012-01,ASN00061031,-32.7756,151.735,924
2012-01,ASN00061041,-33.0955,151.5506,534
2012-01,ASN00060141,-31.8896,152.512,1618
2012-01,ASN00061054,-32.7103,152.1612,715
2012-01,ASN00061071,-32.4027,151.9664,914
2012-01,ASN00061078,-32.7932,151.8359,476
2012-01,ASN00061092,-32.5932,151.3335,620
2012-01,ASN00061093,-33.3653,151.3264,1208
2012-01,ASN00061095,-32.1939,151.0932,682
2012-01,ASN00061096,-32.5997,151.618,446
2012-01,ASN00061097,-31.9201,151.2355,394
2012-01,ASN00061100,-32.7667,151.0872,562
2012-01,ASN00061106,-32.3564,151.8059,1054
2012-01,ASN00061055,-32.9185,151.7985,480
2012-01,ASN00061119,-33.385,150.9856,520
2012-01,ASN00060139,-31.4336,152.8655,1660
2012-01,ASN00060130,-31.2936,152.3121,2156
2012-01,ASN00060024,-31.7816,152.6684,1156
2012-01,ASN00060031,-31.3364,152.7852,2075
2012-01,ASN00060036,-31.862,152.3444,1838
2012-01,ASN00060042,-32.1532,151.9511,998
2012-01,ASN00060046,-31.6877,152.2688,2594
2012-01,ASN00060065,-32.2942,152.3047,1310
2012-01,ASN00060075,-31.95,151.7923,1608
2012-01,ASN00060085,-31.3865,152.2482,5674
2012-01,ASN00060090,-31.3422,152.341,2370
2012-01,ASN00060137,-31.7683,151.8889,1338
2012-01,ASN00060095,-32.375,152.3808,1340
2012-01,ASN00060099,-32.4436,152.1561,1320
2012-01,ASN00060104,-31.4138,151.598,1462
2012-01,ASN00060106,-31.6647,152.0637,1406
2012-01,ASN00060112,-32.0525,151.9147,1218
