date,ID,lat,long,value
1871-01,ASN00074128,-35.5269,144.952,416
1871-01,ASN00074124,-35.1667,145.7667,836
1871-01,ASN00074026,-35.3526,146.31,806
1871-01,ASN00072001,-36.1,146.9,557
1871-01,ASN00071010,-35.8833,148.5,2208
1871-01,ASN00068140,-35.1667,150.7667,801
1871-01,ASN00070037,-34.75,149.8667,610
1871-01,ASN00070023,-36.2333,149.1167,576
1871-01,ASN00069015,-37.0557,149.9053,1160
1871-01,ASN00075048,-35.3412,143.5866,299
1871-01,ASN00070072,-35.3552,149.2292,914
1871-01,ASN00075080,-35.1721,144.6966,420
1871-01,ASN00089000,-37.2833,142.95,645
1871-01,ASN00081003,-36.7533,144.2825,583
1871-01,ASN00081022,-36.25,145.6,499
1871-01,ASN00082051,-36.0,146.4,543
1871-01,ASN00084016,-37.5679,149.9158,660
1871-01,ASN00086071,-37.8075,144.97,765
1871-01,ASN00086079,-38.2358,145.0667,633
1871-01,ASN00086085,-37.9897,145.3356,1604
1871-01,ASN00087025,-38.1167,144.3667,272
1871-01,ASN00088020,-37.3432,144.1575,1194
1871-01,ASN00089049,-37.55,143.8833,412
1871-01,ASN00068069,-34.4333,150.8833,2447
1871-01,ASN00079042,-37.1,142.8,308
1871-01,ASN00067015,-33.9696,150.725,1097
1871-01,ASN00021014,-33.8364,138.6125,140
1871-01,ASN00065012,-32.2385,148.6089,440
1871-01,ASN00066062,-33.8607,151.205,1430
1871-01,ASN00014016,-12.4,130.8,2557
1871-01,ASN00022801,-35.7529,136.5938,64
1871-01,ASN00023000,-34.9254,138.5869,630
1871-01,ASN00026005,-38.0573,140.6725,113
1871-01,ASN00026020,-37.8333,140.7833,63
1871-01,ASN00026026,-37.1628,139.756,78
1871-01,ASN00047053,-34.1065,141.9189,635
1871-01,ASN00054120,-30.3222,149.782,406
1871-01,ASN00055020,-30.8333,149.9167,0
1871-01,ASN00056032,-29.0479,152.0172,1156
1871-01,ASN00056207,-28.5417,151.9909,912
1871-01,ASN00040214,-27.4778,153.0306,2232
1871-01,ASN00061014,-32.6385,151.4173,1809
1871-01,ASN00060026,-31.4399,152.911,3626
1871-01,ASN00063043,-33.5343,150.6338,2617
1871-01,ASN00063004,-33.4167,149.55,492
1871-01,ASN00062021,-32.5956,149.5956,483
1871-01,ASN00062005,-32.0051,149.9815,894
1871-01,ASN00063065,-33.2833,149.1,774
1871-01,ASN00061055,-32.9185,151.7985,1756
1871-01,ASN00061053,-32.2611,150.8847,531
1871-01,ASN00061051,-31.7651,150.8363,1025
1871-01,ASN00061035,-32.7,151.6,1546
1871-01,ASN00061284,-32.9167,150.7,1726
1871-02,ASN00074128,-35.5269,144.952,1004
