date,ID,lat,long,value
2015-01,ASN00061288,-32.3322,151.4595,1210
2015-01,ASN00061327,-32.8248,151.2613,2200
2015-01,ASN00061290,-32.1621,151.4905,134
2015-01,ASN00061294,-33.4666,151.4126,2886
2015-01,ASN00061295,-32.8108,151.3396,1778
2015-01,ASN00061306,-31.8988,150.658,992
2015-01,ASN00061309,-32.6881,150.9728,1630
2015-01,ASN00061324,-32.2451,150.513,937
2015-01,ASN00061329,-32.8323,151.3085,1436
2015-01,ASN00061349,-32.5667,151.6083,1375
2015-01,ASN00061336,-33.1556,150.6847,1360
2015-01,ASN00061346,-31.8626,151.4398,1244
2015-01,ASN00061350,-32.1714,151.5942,2742
2015-01,ASN00061360,-32.05,150.8528,615
2015-01,ASN00061363,-32.0335,150.8264,906
2015-01,ASN00061366,-33.2815,151.5766,1678
2015-01,ASN00061372,-31.8017,150.925,554
2015-01,ASN00061373,-31.9583,150.8567,1082
2015-01,ASN00061374,-32.2199,150.9193,646
2015-01,ASN00061287,-32.1852,150.1737,838
2015-01,ASN00061334,-33.0488,150.2325,938
2015-01,ASN00061282,-33.0833,151.5,2138
2015-01,ASN00061097,-31.9201,151.2355,1128
2015-01,ASN00061260,-32.7886,151.3377,992
2015-01,ASN00061095,-32.1939,151.0932,1230
2015-01,ASN00061096,-32.5997,151.618,1484
2015-01,ASN00061106,-32.3564,151.8059,700
2015-01,ASN00061110,-32.8736,150.7936,1670
2015-01,ASN00061119,-33.385,150.9856,1470
2015-01,ASN00061135,-32.1018,151.2333,1400
2015-01,ASN00061143,-32.654,151.021,1910
2015-01,ASN00061151,-32.2426,151.683,2248
2015-01,ASN00061152,-32.9995,151.2908,1630
2015-01,ASN00061162,-32.8446,150.8398,1544
2015-01,ASN00061170,-32.2809,151.7948,1228
2015-01,ASN00061191,-32.6126,150.9761,2023
2015-01,ASN00061196,-31.7069,151.2131,954
2015-01,ASN00061205,-33.0297,151.1401,1704
2015-01,ASN00061209,-32.9597,150.675,1468
2015-01,ASN00061211,-33.3588,150.7058,2044
2015-01,ASN00061216,-33.4176,151.159,1977
2015-01,ASN00061217,-33.2904,150.9708,1642
2015-01,ASN00061220,-33.2381,151.3003,2314
2015-01,ASN00061226,-32.936,151.1393,1488
2015-01,ASN00061250,-32.6296,151.5919,1490
2015-01,ASN00061268,-32.73,151.555,1620
2015-01,ASN00061375,-33.2894,151.2107,2434
2015-01,ASN00062102,-32.5204,150.0817,1135
2015-01,ASN00061377,-33.0933,151.6317,2444
2015-01,ASN00063035,-33.0362,149.4146,968
2015-01,ASN00063036,-33.8199,150.0227,1733
2015-01,ASN00063039,-33.7122,150.3087,2592
2015-01,ASN00063043,-33.5343,150.6338,1576
2015-01,ASN00063049,-33.6094,150.0856,1512
2015-01,ASN00063061,-33.8222,149.3244,1310
2015-01,ASN00063063,-33.6774,149.8374,842
2015-01,ASN00063073,-33.6896,149.5633,553
2015-01,ASN00063076,-33.0807,149.6901,820
2015-01,ASN00063081,-33.6956,150.5408,1660
2015-01,ASN00063029,-33.744,149.1046,1194
2015-01,ASN00063093,-34.3093,149.9677,1786
2015-01,ASN00063114,-33.3439,149.1617,1100
2015-01,ASN00063117,-33.6739,149.0471,995
2015-01,ASN00063118,-33.5156,150.4892,2016
2015-01,ASN00063119,-34.2347,149.265,884
2015-01,ASN00063132,-33.3808,150.0818,1562
2015-01,ASN00063142,-33.577,149.8591,898
2015-01,ASN00063146,-33.5544,150.0526,1091
2015-01,ASN00063201,-34.0833,149.15,572
2015-01,ASN00063214,-33.3561,149.4058,1060
2015-01,ASN00063226,-33.4769,150.1303,1248
2015-01,ASN00063113,-33.5497,148.91,1046
2015-01,ASN00061376,-33.0759,151.5382,2420
2015-01,ASN00063028,-33.6929,150.5291,1640
2015-01,ASN00063013,-33.5366,150.4413,1870
2015-01,ASN00061381,-33.4036,151.3928,3220
2015-01,ASN00061382,-33.1681,151.2181,1970
2015-01,ASN00061383,-33.2528,151.3164,2270
2015-01,ASN00061385,-33.0789,151.3403,1770
2015-01,ASN00061387,-33.245,151.5119,1942
2015-01,ASN00061392,-31.7416,150.7937,666
2015-01,ASN00061394,-33.2177,151.1251,1920
2015-01,ASN00061405,-32.6753,151.6219,1218
2015-01,ASN00061406,-33.0831,151.6511,3050
2015-01,ASN00062003,-32.6657,149.1016,1173
2015-01,ASN00063022,-33.8018,148.704,664
2015-01,ASN00062009,-31.9963,149.9856,1242
