Modele,Ventes,Part de marché
Peugeot 208 I,87285,3.8999999999999999
Citroën C3 III,80757,3.6000000000000001
Renault Clio IV,80079,3.6000000000000001
Peugeot 308 II,72940,3.2999999999999998
Dacia Sandero II,69343,3.1000000000000001
Renault Captur,64050,2.8999999999999999
Peugeot 2008 I,59218,2.7000000000000002
Peugeot 3008 II,56435,2.5
Renault Clio V,56435,2.2999999999999998
Renault Twingo III,50724,2.2999999999999998
Dacia Duster II,48957,2.2000000000000002
Citroën C3 Aircross,46946,2.1000000000000001
Renault Mégane IV,44212,2
Toyota Yaris III,41789,1.8999999999999999
Volkswagen Polo VI,38941,1.8
Citroën C5 Aircross,34698,1.6000000000000001
Renault Kadjar,28982,1.3
Peugeot 5008 II,28669,1.3
Opel Corsa V,27698,1.3
Ford Fiesta VII,24082,1.1000000000000001
Volkswagen Golf VII,22395,1
Volkswagen T-Roc,22325,1
Fiat 500 III,21955,1
Volkswagen Tiguan II,21799,1
Peugeot 108,21588,1
Citroën C4 Cactus,20905,0.90000000000000002
Renault Scénic IV,2036,0.90000000000000002
Nissan Qashqai II,20053,0.90000000000000002
Mercedes Classe A IV,20051,0.90000000000000002
Renault Zoe,18817,0.80000000000000004
Citroën C4 SpaceTourer,18356,0.80000000000000004
Peugeot 208 II,18304,0.80000000000000004
Toyota C-HR,16986,0.80000000000000004
Mini IV,16880,0.80000000000000004
Citroën C1 II,16864,0.80000000000000004
Fiat 500X,16183,0.69999999999999996
Fiat Panda III,15874,0.69999999999999996
Renault Grand Scénic IV,15513,0.69999999999999996
Peugeot 508 II,15477,0.69999999999999996
Toyota Aygo II,15303,0.69999999999999996
DS 7 Crossback,14099,0.59999999999999998
Volkswagen T-Cross,13635,0.59999999999999998
Peugeot Rifter,13526,0.59999999999999998
Opel Crossland,13124,0.59999999999999998
Ford Focus IV,12745,0.59999999999999998
Seat Arona,12571,0.59999999999999998
BMW X1,12191,0.59999999999999998
Citroën Berlingo III,12100,0.5
Ford EcoSport II,11649,0.5
Suzuki Swift III,11425,0.5
