Modele,Ventes,Part de marché
Peugeot 208 II,88013,5.3
Renault Clio V,85247,5.1
Dacia Sandero II,77054,4.5
Peugeot 2008 II,75478,4.4
Citroën C3 III,65395,3.9
Renault Captur II,52605,3.2
Peugeot 3008 II,50488,3 %
Toyota Yaris III,32302,1.9
Dacia Duster II,31060,1.9
Renault Twingo III,29111,1.8
Renault Mégane IV,28001,1.7
Citroën C3 Aircross,26669,1.6
Fiat 500 III,25182,1.5
Tesla Model 3,24911,1.5
Volkswagen Polo VI,23882,1.4
Renault Zoe,23575,1.4
Citroën C4 III,22358,
Citroën C4 Aircross,21908,
Peugeot 308 III,21524,
Peugeot 5008 II,21408,
Volkswagen T-Roc,18145,
Renault Arkana,17977,
Hyundai Tucson IV,17977,
Toyota Corolla XII,16867,
Ford Puma II,16176,
Opel Corsa VI,15870,
Mini IV,14855,
Volkswagen Tiguan II,14747,
Toyota C-HR,14566,
Volkswagen Golf VIII,14005,
